39.894,38.057,78.758,69.669
36.968,38.331,84.01,69.981
35.772,35.253,87.623,69.599
38.812,35.746,88.014,70.652
39.901,34.445,85.225,71.812
39.15,32.272,84.625,70.331
42.161,33.206,88.311,74.463
40.443,33.763,89.152,70.115
44.286,32.928,91.622,67.376
45.172,30.196,90.067,64.255
44.522,30.166,87.816,65.733
39.814,31.222,90.583,62.499
39.78,30.429,86.909,60.425
44.009,31.426,83.853,62.095
46.478,35.539,84.338,55.939
42.903,32.738,85.351,56.761
44.281,31.761,84.355,54.218
50.16,29.652,83.504,52.06
49.699,30.791,84.092,51.089
50.104,32.403,82.514,55.392
48.471,31.525,85.718,56.599
46.513,33.043,80.306,56.123
45.799,37.145,76.15,59.31
44.137,35.384,76.611,60.481
37.611,34.095,73.536,57.517
36.082,31.613,70.812,60.408
35.877,33.017,67.492,63.732
34.926,29.187,66.809,56.024
32.46,33.585,64.386,58.473
33.548,31.173,64.942,53.978
29.799,28.41,64.897,57.595
27.54,31.441,65.322,56.605
24.047,32.903,66.899,60.16
27.508,30.837,63.552,59.779
27.994,29.537,66.25,62.539
31.471,31.115,59.393,61.209
32.294,32.894,59.421,62.397
32.8,30.961,57.61,61.467
34.504,34.198,55.742,59.75
32.211,33.634,54.773,59.07
28.57,31.739,54.149,57.341
29.19,32.846,56.343,54.347
33.023,34.02,54.768,52.021
29.916,30.893,56.596,53.445
27.695,32.904,56.127,52.244
28.727,33,55.143,57.568
28.665,29.022,51.399,56.657
31.242,26.783,54.079,50.929
33.084,26.031,52.25,51.015
31.86,29.973,56.639,51.686
37.034,29.154,54.437,57.587
37.983,29.847,57.306,56.39
39.21,27.075,53.856,56.455
38.147,26.019,56.667,58.361
34.619,27.937,56.606,53.927
33.229,23.505,56.978,56.224
33.952,21.93,54.497,59.473
35.973,24.494,54.683,59.108
40.526,21.95,60.586,58.367
44.288,24.585,59.498,60.038
42.026,27.388,58.072,58.615
43.592,23.731,57.754,61.805
43.359,22.024,52.801,61.048
43.021,26.88,54.985,66.121
38.597,28.748,56.8,65.651
36.849,22.918,54.781,66.341
42.48,18.166,54.921,64.722
41.502,21.104,55.199,66.079
38.058,31.668,52.197,68.113
36.365,25.226,49.019,65.22
37.358,27.394,49.072,65.854
37.36,22.645,49.838,64.945
36.828,25.973,55.183,66.32
39.403,28.059,47.344,63.889
41.484,32.182,43.827,61.725
44.114,30.782,44.22,63.981
44.058,36.023,43.267,61.737
44.775,38.043,40.002,63.936
43.71,37.782,44.372,64.646
46.451,36.823,41.219,60.433
49.829,39.937,41.407,57.496
53.199,45.624,46.908,54.52
54.9,47.488,45.675,52.165
55.9,47.806,43.852,51.761
55.892,43.265,43.911,56.593
53.41,42.958,42.89,59.986
56.444,42.516,43.206,58.344
59.056,43.57,40.021,60.385
64.773,41.875,39.591,61.62
70.315,42.001,42.622,66.246
70.391,41.829,40.828,65.312
68.14,44.649,42.176,65.717
70.51,41.564,40.299,59.904
63.005,39.055,41.277,50.665
61.4,38.553,42.896,51.207
55.605,36.056,41.159,45.641
58.957,35.512,42.129,48.304
63.056,30.687,41.897,54.497
58.933,34.646,42.496,52.44
56.869,31.733,45.837,55.361
57.494,31.433,45.791,53.823
56.751,30.251,44.666,54.227
53.658,29.558,44.607,55.058
57.216,30.502,41.843,50.541
52.536,31.451,42.555,51.092
54.565,31.311,42.803,47.342
54.962,22.001,40.61,48.436
54.922,24.627,41.541,42.587
56.241,23.318,41.645,46.888
56.184,29.436,41.542,43.305
54.993,28.383,41.061,39.086
52.957,28.888,42.28,37.146
50.386,26.113,40.551,34.44
50.976,23.101,38.899,37.679
53.434,25.972,40.8,36.156
51.077,23.484,41.241,37.715
55.666,26.215,45.715,39.872
58.892,27.975,47.842,37.929
61.947,31.141,47.983,39.077
